,title,release_date,original_language,popularity,overview,vote_average,vote_count
3765,Hell House LLC III: Lake of Fire,2019-09-19,en,24.908,"Set one year after the events of Hell House LLC II, the hotel is on the verge of being torn down when it is purchased by billionaire Russell Wynn as the new home for his popular interactive show, Insomnia. He invites journalist Venessa Sheppard and her crew to record everything happening inside the hotel leading up to the performance - but they soon encounter a more nefarious plot, one that threatens to unleash a veritable hell on earth.",5.067,89
3766,Thirteen Lives,2022-07-18,en,24.901,"Based on the true nail-biting mission that captivated the world. Twelve boys and the coach of a Thai soccer team explore the Tham Luang cave when an unexpected rainstorm traps them in a chamber inside the mountain. Entombed behind a maze of flooded cave tunnels, they face impossible odds. A team of world-class divers navigate through miles of dangerous cave networks to discover that finding the boys is only the beginning.",7.921,1067
3767,The Last House on the Left,2009-03-13,en,24.901,"A group of teenage girls heading into the city hook up with a gang of drug-addled ne'er-do-wells and are brutally murdered. The killers find their way to the home of one of their victim's parents, where both father and mother exact a horrible revenge.",6.468,1608
3768,Death on the Nile,1978-09-29,en,24.899,"As Hercule Poirot enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board. Can Poirot identify the killer before the ship reaches the end of its journey?",7.1,705
3769,Blockers,2018-03-14,en,24.897,"When three parents discover that each of their daughters have a pact to lose their virginity at prom, they launch a covert one-night operation to stop the teens from sealing the deal.",6.301,1869
3770,The Woman in Black,2012-02-03,en,24.897,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client’s papers. As he works alone in the client’s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.",6.123,3292
3771,In the Mood for Love,2000-09-29,cn,24.868,Two neighbors become intimate after discovering that their spouses are having an affair with one another.,8.106,2364
3772,6 Below: Miracle on the Mountain,2017-10-12,en,24.861,An adrenaline seeking snowboarder gets lost in a massive winter storm in the back country of the High Sierras where he is pushed to the limits of human endurance and forced to battle his own personal demons as he fights for survival....,5.844,333
3773,Sister Act,1992-05-28,en,24.855,"A Reno singer witnesses a mob murder and the cops stash her in a nunnery to protect her from the mob's hitmen. The mother superior does not trust her, and takes steps to limit her influence on the other nuns. Eventually the singer rescues the failing choir and begins helping with community projects, which gets her an interview on TV—and identification by the mob.",6.825,2936
3774,Detective Conan: The Phantom of Baker Street,2002-04-20,ja,24.854,"Noah's Ark—the latest in VR technology and a milestone of human innovation—is set for a showcase to Japan's privileged children. They have the honour of beginning a new revolution in gaming; however, their carefree fun is cut short when a company employee is found murdered, with his dying message pointing to a clue hidden within the Ark.  Along with the Detective Boys and Ran Mouri, Conan Edogawa enters Noah's Ark to solve this mystery and ensure the perpetrator is caught. But once they're inside the Ark, it takes on a mind of its own, imprisoning them and the children within its worlds. To escape and bring the murderer to justice, Conan and company must navigate a simulated 19th century London and track down the infamous Jack the Ripper—with the lives of 50 innocent children depending on them.",7.667,174
3775,Movie 43,2013-01-24,en,24.847,Fifteen directors and an all-star cast created this twisted comedy that follows three teens on the hunt for the world's most banned film.,4.58,2155
3776,Dragons: Gift of the Night Fury,2011-11-15,en,24.84,Hiccup and Toothless go on an exciting adventure and discover an island of new dragons.,7.059,320
3777,Champions,2023-03-09,en,24.837,A stubborn and hotheaded minor league basketball coach is forced to train a Special Olympics team when he is sentenced to community service.,6.953,211
3778,"No Retreat, No Surrender",1986-05-02,en,24.836,"Young Jason Stillwell moves with his parents to Seattle, where local bullies harass them without mercy. Jason's father Tom does not believe in violence, so the family takes it on the chin. One day Jason enrolls in a martial arts class and quietly rises in rank to be a major contender. His mettle is tested in an international match against Ivan, a Russian champion.",6.2,485
3779,Blast from the Past,1999-02-12,en,24.836,"Following a bomb scare in the 1960s that locked the Webers into their bomb shelter for 35 years, Adam now ventures forth into Los Angeles to obtain food and supplies for his family, and a non-mutant wife for himself.",6.687,957
3780,Child 44,2015-03-15,en,24.834,"Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",6.264,1548
3781,The Flu,2013-08-14,ko,24.83,"A case of the flu quickly morphs into a pandemic. As the death toll mounts and the living panic, the government plans extreme measures to contain it.",7.531,1093
3782,Reality,2023-06-02,en,24.828,"Augusta, Georgia, United States, June 3, 2017. After running some errands, Reality Winner returns home, where she is approached by two men.",6.281,196
3783,Collision,2022-06-16,en,24.821,"Over the course of one fateful day, a corrupt businessman and his socialite wife race to save their daughter from a notorious crime lord.",5.85,127
3784,She Devils of the SS,1973-08-23,de,24.808,"In the last days of WW2, women are volunteering from all over Germany to serve in the front lines by having sex with the brave Nazi soldiers. But when they start having sex with each other, things get complicated. Especially with the increasing danger from the revengeful Soviet army!",5.056,45
3785,M,1931-05-11,de,24.807,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",8.098,1930
3786,The Man Who Shot Liberty Valance,1962-04-13,en,24.805,"A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",7.788,1014
3787,Death Proof,2007-05-22,en,24.805,"Austin's hottest DJ, Jungle Julia, sets out into the night to unwind with her two friends Shanna and Arlene. Covertly tracking their moves is Stuntman Mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away.",6.826,4732
3788,Resident Evil,2002-03-15,en,24.803,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak.",6.6,5841
3789,Kronk's New Groove,2005-12-05,en,24.802,"Kronk, now chef and Head Delivery Boy of Mudka's Meat Hut, is fretting over the upcoming visit of his father. Kronk's father always disapproved of young Kronk's culinary interests and wished that Kronk instead would settle down with a wife and a large house on a hill.",6.39,1167
3790,The Midnight Meat Train,2008-08-07,en,24.802,"A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters, ultimately butchering them in the most gruesome ways.",6.1,1011
